judge,dataset,category,n,seed,cov_raw,width_raw,cov_adj,width_adj,pearson,cp_informativeness,rsg
LLaVA-Critic,AesBench,Aesthetics/AI,392,1,0.8877551020408163,1.814917829571938,0.9693877551020408,2.438775510204082,0.37715832593722987,0.5462705426070156,-0.1691122166697857
LLaVA-Critic,AesBench,Aesthetics/AI,392,2,0.9132653061224489,2.331705792826049,0.9744897959183674,2.8469387755102042,0.4086679070152709,0.4170735517934877,-0.008405644778216814
LLaVA-Critic,AesBench,Aesthetics/AI,392,3,0.826530612244898,1.7026881843197101,0.9744897959183674,2.4591836734693877,0.5040444230920824,0.5743279539200725,-0.0702835308279901
LLaVA-Critic,AesBench,Aesthetics/AI,392,4,0.9132653061224489,1.986951972757067,0.9693877551020408,2.5969387755102042,0.4226519623711159,0.5032620068107332,-0.08061004443961728
LLaVA-Critic,AesBench,Aesthetics/AI,392,5,0.8775510204081632,2.2294979788819136,0.9897959183673469,2.7346938775510203,0.4165491159617023,0.4426255052795216,-0.026076389317819304
LLaVA-Critic,AesBench,Aesthetics/AI,392,6,0.9183673469387755,2.121257415839604,0.9846938775510204,2.663265306122449,0.422080014668425,0.469685646040099,-0.047605631371674006
LLaVA-Critic,AesBench,Aesthetics/AI,392,7,0.826530612244898,1.4987941092374373,0.9744897959183674,2.377551020408163,0.4160066433516028,0.6253014726906407,-0.20929482933903792
LLaVA-Critic,AesBench,Aesthetics/AI,392,8,0.8826530612244898,1.9279342232918253,0.9846938775510204,2.61734693877551,0.4269489710340589,0.5180164441770436,-0.09106747314298475
LLaVA-Critic,AesBench,Aesthetics/AI,392,9,0.9183673469387755,2.296230115452591,0.9846938775510204,2.816326530612245,0.40660146865833285,0.42594247113685224,-0.019341002478519387
LLaVA-Critic,AesBench,Aesthetics/AI,392,10,0.9081632653061225,2.3972645669567343,1.0,2.9591836734693877,0.39653622407928063,0.40068385826081643,-0.0041476341815357975
LLaVA-Critic,ChartQA,Vision-Heavy,400,1,0.9,3.1666482776403426,0.975,3.54,0.4879133808847823,0.20833793058991434,0.27957545029486797
LLaVA-Critic,ChartQA,Vision-Heavy,400,2,0.88,3.1195512425899508,0.97,3.52,0.48635946812779457,0.2201121893525123,0.26624727877528226
LLaVA-Critic,ChartQA,Vision-Heavy,400,3,0.86,2.863819774389267,0.95,3.405,0.49967453207754636,0.2840450564026833,0.21562947567486307
LLaVA-Critic,ChartQA,Vision-Heavy,400,4,0.86,3.0927265536785127,0.955,3.615,0.5572734463924645,0.22681836158037183,0.3304550848120926
LLaVA-Critic,ChartQA,Vision-Heavy,400,5,0.865,2.9915597105026244,0.96,3.52,0.47665496722439316,0.2521100723743439,0.22454489485004925
LLaVA-Critic,ChartQA,Vision-Heavy,400,6,0.905,3.214951665401459,0.99,3.75,0.5059523652338517,0.19626208364963527,0.3096902815842164
LLaVA-Critic,ChartQA,Vision-Heavy,400,7,0.77,2.5205024605989457,0.915,2.97,0.45254010674700407,0.3698743848502636,0.08266572189674048
LLaVA-Critic,ChartQA,Vision-Heavy,400,8,0.815,2.62223802626133,0.925,3.265,0.5240436522099878,0.34444049343466754,0.1796031587753203
LLaVA-Critic,ChartQA,Vision-Heavy,400,9,0.86,3.1142795771360396,0.955,3.635,0.49911558065917094,0.2214301057159901,0.27768547494318085
LLaVA-Critic,ChartQA,Vision-Heavy,400,10,0.935,3.3222683703899385,0.995,3.71,0.5139010424311967,0.16943290740251538,0.34446813502868134
